,L,modelo,fold,Acurácia
0,10,rlo,0,0.9018181818181819
1,20,rlo,0,0.9418181818181818
2,30,rlo,0,0.9890909090909091
3,40,rlo,0,0.9672727272727273
4,50,rlo,0,0.9745454545454545
5,60,rlo,0,0.9890909090909091
6,70,rlo,0,0.9963636363636363
7,80,rlo,0,0.9745454545454545
8,90,rlo,0,0.92
9,100,rlo,0,0.88
10,10,bagging,0,0.9890909090909091
11,20,bagging,0,0.9890909090909091
12,30,bagging,0,0.9890909090909091
13,40,bagging,0,0.9963636363636363
14,50,bagging,0,0.9890909090909091
15,60,bagging,0,0.9890909090909091
16,70,bagging,0,0.9890909090909091
17,80,bagging,0,0.9890909090909091
18,90,bagging,0,0.9890909090909091
19,100,bagging,0,0.9890909090909091
20,10,adaboost,0,1.0
21,20,adaboost,0,1.0
22,30,adaboost,0,1.0
23,40,adaboost,0,1.0
24,50,adaboost,0,1.0
25,60,adaboost,0,1.0
26,70,adaboost,0,1.0
27,80,adaboost,0,1.0
28,90,adaboost,0,1.0
29,100,adaboost,0,1.0
30,10,random_subspace,0,0.5781818181818181
31,20,random_subspace,0,0.7527272727272727
32,30,random_subspace,0,0.5636363636363636
33,40,random_subspace,0,0.8945454545454545
34,50,random_subspace,0,0.7090909090909091
35,60,random_subspace,0,0.6181818181818182
36,70,random_subspace,0,0.6072727272727273
37,80,random_subspace,0,0.6072727272727273
38,90,random_subspace,0,0.8945454545454545
39,100,random_subspace,0,0.9090909090909091
40,10,rlo,1,0.9054545454545454
41,20,rlo,1,0.9236363636363636
42,30,rlo,1,0.9890909090909091
43,40,rlo,1,0.9490909090909091
44,50,rlo,1,0.9490909090909091
45,60,rlo,1,0.9745454545454545
46,70,rlo,1,0.9818181818181818
47,80,rlo,1,0.9563636363636364
48,90,rlo,1,0.8836363636363637
49,100,rlo,1,0.8618181818181818
50,10,bagging,1,0.9963636363636363
51,20,bagging,1,0.9963636363636363
52,30,bagging,1,0.9963636363636363
53,40,bagging,1,0.9963636363636363
54,50,bagging,1,0.9963636363636363
55,60,bagging,1,1.0
56,70,bagging,1,0.9963636363636363
57,80,bagging,1,0.9963636363636363
58,90,bagging,1,1.0
59,100,bagging,1,0.9963636363636363
60,10,adaboost,1,1.0
61,20,adaboost,1,1.0
62,30,adaboost,1,1.0
63,40,adaboost,1,1.0
64,50,adaboost,1,1.0
65,60,adaboost,1,1.0
66,70,adaboost,1,1.0
67,80,adaboost,1,1.0
68,90,adaboost,1,1.0
69,100,adaboost,1,1.0
70,10,random_subspace,1,0.5890909090909091
71,20,random_subspace,1,0.8436363636363636
72,30,random_subspace,1,0.8363636363636363
73,40,random_subspace,1,0.6836363636363636
74,50,random_subspace,1,0.7563636363636363
75,60,random_subspace,1,0.5890909090909091
76,70,random_subspace,1,0.6072727272727273
77,80,random_subspace,1,0.6181818181818182
78,90,random_subspace,1,0.84
79,100,random_subspace,1,0.8545454545454545
80,10,rlo,2,0.916058394160584
81,20,rlo,2,0.9197080291970803
82,30,rlo,2,0.9781021897810219
83,40,rlo,2,0.948905109489051
84,50,rlo,2,0.9525547445255474
85,60,rlo,2,0.9635036496350365
86,70,rlo,2,0.9817518248175182
87,80,rlo,2,0.9598540145985401
88,90,rlo,2,0.8832116788321168
89,100,rlo,2,0.8868613138686131
90,10,bagging,2,0.9854014598540146
91,20,bagging,2,0.9854014598540146
92,30,bagging,2,0.9854014598540146
93,40,bagging,2,0.9854014598540146
94,50,bagging,2,0.9854014598540146
95,60,bagging,2,0.9854014598540146
96,70,bagging,2,0.9854014598540146
97,80,bagging,2,0.9927007299270073
98,90,bagging,2,0.9854014598540146
99,100,bagging,2,0.9854014598540146
100,10,adaboost,2,1.0
101,20,adaboost,2,1.0
102,30,adaboost,2,1.0
103,40,adaboost,2,1.0
104,50,adaboost,2,1.0
105,60,adaboost,2,1.0
106,70,adaboost,2,1.0
107,80,adaboost,2,1.0
108,90,adaboost,2,1.0
109,100,adaboost,2,1.0
110,10,random_subspace,2,0.8248175182481752
111,20,random_subspace,2,0.864963503649635
112,30,random_subspace,2,0.583941605839416
113,40,random_subspace,2,0.6386861313868614
114,50,random_subspace,2,0.8394160583941606
115,60,random_subspace,2,0.8102189781021898
116,70,random_subspace,2,0.572992700729927
117,80,random_subspace,2,0.8065693430656934
118,90,random_subspace,2,0.6824817518248175
119,100,random_subspace,2,0.791970802919708
120,10,rlo,3,0.9233576642335767
121,20,rlo,3,0.948905109489051
122,30,rlo,3,1.0
123,40,rlo,3,0.9744525547445255
124,50,rlo,3,0.9708029197080292
125,60,rlo,3,0.9963503649635036
126,70,rlo,3,1.0
127,80,rlo,3,0.9781021897810219
128,90,rlo,3,0.9416058394160584
129,100,rlo,3,0.8832116788321168
130,10,bagging,3,0.9963503649635036
131,20,bagging,3,0.9963503649635036
132,30,bagging,3,1.0
133,40,bagging,3,1.0
134,50,bagging,3,1.0
135,60,bagging,3,1.0
136,70,bagging,3,1.0
137,80,bagging,3,1.0
138,90,bagging,3,1.0
139,100,bagging,3,1.0
140,10,adaboost,3,1.0
141,20,adaboost,3,1.0
142,30,adaboost,3,1.0
143,40,adaboost,3,1.0
144,50,adaboost,3,1.0
145,60,adaboost,3,1.0
146,70,adaboost,3,1.0
147,80,adaboost,3,1.0
148,90,adaboost,3,1.0
149,100,adaboost,3,1.0
150,10,random_subspace,3,0.5547445255474452
151,20,random_subspace,3,0.5985401459854015
152,30,random_subspace,3,0.8832116788321168
153,40,random_subspace,3,0.9087591240875912
154,50,random_subspace,3,0.6642335766423357
155,60,random_subspace,3,0.635036496350365
156,70,random_subspace,3,0.8978102189781022
157,80,random_subspace,3,0.9014598540145985
158,90,random_subspace,3,0.6934306569343066
159,100,random_subspace,3,0.7700729927007299
160,10,rlo,4,0.8540145985401459
161,20,rlo,4,0.9306569343065694
162,30,rlo,4,0.9890510948905109
163,40,rlo,4,0.9671532846715328
164,50,rlo,4,0.9708029197080292
165,60,rlo,4,0.9817518248175182
166,70,rlo,4,0.9890510948905109
167,80,rlo,4,0.9744525547445255
168,90,rlo,4,0.9051094890510949
169,100,rlo,4,0.8357664233576643
170,10,bagging,4,0.9927007299270073
171,20,bagging,4,0.9927007299270073
172,30,bagging,4,0.9927007299270073
173,40,bagging,4,0.9927007299270073
174,50,bagging,4,0.9927007299270073
175,60,bagging,4,0.9927007299270073
176,70,bagging,4,0.9927007299270073
177,80,bagging,4,0.9927007299270073
178,90,bagging,4,0.9890510948905109
179,100,bagging,4,0.9927007299270073
180,10,adaboost,4,1.0
181,20,adaboost,4,1.0
182,30,adaboost,4,1.0
183,40,adaboost,4,1.0
184,50,adaboost,4,1.0
185,60,adaboost,4,1.0
186,70,adaboost,4,1.0
187,80,adaboost,4,1.0
188,90,adaboost,4,1.0
189,100,adaboost,4,1.0
190,10,random_subspace,4,0.8941605839416058
191,20,random_subspace,4,0.8759124087591241
192,30,random_subspace,4,0.8686131386861314
193,40,random_subspace,4,0.8284671532846716
194,50,random_subspace,4,0.8941605839416058
195,60,random_subspace,4,0.8978102189781022
196,70,random_subspace,4,0.5948905109489051
197,80,random_subspace,4,0.8759124087591241
198,90,random_subspace,4,0.8467153284671532
199,100,random_subspace,4,0.6897810218978102
