,L,modelo,fold,Acurácia
0,10,rlo,0,0.9351851851851852
1,20,rlo,0,0.9166666666666666
2,30,rlo,0,0.9074074074074074
3,40,rlo,0,0.8796296296296297
4,50,rlo,0,0.9444444444444444
5,60,rlo,0,0.9444444444444444
6,70,rlo,0,0.9444444444444444
7,80,rlo,0,0.9166666666666666
8,90,rlo,0,0.9074074074074074
9,100,rlo,0,0.9444444444444444
10,10,bagging,0,0.9629629629629629
11,20,bagging,0,0.9629629629629629
12,30,bagging,0,0.9629629629629629
13,40,bagging,0,0.9629629629629629
14,50,bagging,0,0.9629629629629629
15,60,bagging,0,0.9629629629629629
16,70,bagging,0,0.9722222222222222
17,80,bagging,0,0.9629629629629629
18,90,bagging,0,0.9722222222222222
19,100,bagging,0,0.9629629629629629
20,10,adaboost,0,0.9907407407407407
21,20,adaboost,0,1.0
22,30,adaboost,0,1.0
23,40,adaboost,0,1.0
24,50,adaboost,0,1.0
25,60,adaboost,0,1.0
26,70,adaboost,0,1.0
27,80,adaboost,0,1.0
28,90,adaboost,0,1.0
29,100,adaboost,0,1.0
30,10,random_subspace,0,0.9074074074074074
31,20,random_subspace,0,0.9074074074074074
32,30,random_subspace,0,0.9629629629629629
33,40,random_subspace,0,0.9444444444444444
34,50,random_subspace,0,0.9629629629629629
35,60,random_subspace,0,0.9074074074074074
36,70,random_subspace,0,0.9074074074074074
37,80,random_subspace,0,0.9074074074074074
38,90,random_subspace,0,0.9166666666666666
39,100,random_subspace,0,0.9074074074074074
40,10,rlo,1,0.9259259259259259
41,20,rlo,1,0.9259259259259259
42,30,rlo,1,0.9166666666666666
43,40,rlo,1,0.8333333333333334
44,50,rlo,1,0.9537037037037037
45,60,rlo,1,0.9537037037037037
46,70,rlo,1,0.9351851851851852
47,80,rlo,1,0.9166666666666666
48,90,rlo,1,0.8796296296296297
49,100,rlo,1,0.9259259259259259
50,10,bagging,1,0.9537037037037037
51,20,bagging,1,0.9722222222222222
52,30,bagging,1,0.9814814814814815
53,40,bagging,1,0.9629629629629629
54,50,bagging,1,0.9722222222222222
55,60,bagging,1,0.9629629629629629
56,70,bagging,1,0.9629629629629629
57,80,bagging,1,0.9722222222222222
58,90,bagging,1,0.9722222222222222
59,100,bagging,1,0.9814814814814815
60,10,adaboost,1,0.9907407407407407
61,20,adaboost,1,1.0
62,30,adaboost,1,1.0
63,40,adaboost,1,1.0
64,50,adaboost,1,1.0
65,60,adaboost,1,1.0
66,70,adaboost,1,1.0
67,80,adaboost,1,1.0
68,90,adaboost,1,1.0
69,100,adaboost,1,1.0
70,10,random_subspace,1,0.9259259259259259
71,20,random_subspace,1,0.9166666666666666
72,30,random_subspace,1,0.9166666666666666
73,40,random_subspace,1,0.9166666666666666
74,50,random_subspace,1,0.9166666666666666
75,60,random_subspace,1,0.9537037037037037
76,70,random_subspace,1,0.9166666666666666
77,80,random_subspace,1,0.9166666666666666
78,90,random_subspace,1,0.9166666666666666
79,100,random_subspace,1,0.9166666666666666
80,10,rlo,2,0.9351851851851852
81,20,rlo,2,0.9444444444444444
82,30,rlo,2,0.9166666666666666
83,40,rlo,2,0.7962962962962963
84,50,rlo,2,0.9722222222222222
85,60,rlo,2,0.9814814814814815
86,70,rlo,2,0.9444444444444444
87,80,rlo,2,0.8333333333333334
88,90,rlo,2,0.8703703703703703
89,100,rlo,2,0.9814814814814815
90,10,bagging,2,0.9722222222222222
91,20,bagging,2,0.9907407407407407
92,30,bagging,2,0.9907407407407407
93,40,bagging,2,0.9907407407407407
94,50,bagging,2,0.9907407407407407
95,60,bagging,2,0.9907407407407407
96,70,bagging,2,0.9907407407407407
97,80,bagging,2,1.0
98,90,bagging,2,0.9907407407407407
99,100,bagging,2,0.9907407407407407
100,10,adaboost,2,1.0
101,20,adaboost,2,1.0
102,30,adaboost,2,1.0
103,40,adaboost,2,1.0
104,50,adaboost,2,1.0
105,60,adaboost,2,1.0
106,70,adaboost,2,1.0
107,80,adaboost,2,1.0
108,90,adaboost,2,1.0
109,100,adaboost,2,1.0
110,10,random_subspace,2,0.9166666666666666
111,20,random_subspace,2,0.9166666666666666
112,30,random_subspace,2,0.9166666666666666
113,40,random_subspace,2,0.9166666666666666
114,50,random_subspace,2,0.9166666666666666
115,60,random_subspace,2,0.9166666666666666
116,70,random_subspace,2,0.9166666666666666
117,80,random_subspace,2,0.9166666666666666
118,90,random_subspace,2,0.9166666666666666
119,100,random_subspace,2,0.9166666666666666
120,10,rlo,3,0.9259259259259259
121,20,rlo,3,0.9351851851851852
122,30,rlo,3,0.9259259259259259
123,40,rlo,3,0.7592592592592593
124,50,rlo,3,0.9629629629629629
125,60,rlo,3,0.9444444444444444
126,70,rlo,3,0.9259259259259259
127,80,rlo,3,0.8611111111111112
128,90,rlo,3,0.8703703703703703
129,100,rlo,3,0.9259259259259259
130,10,bagging,3,0.9629629629629629
131,20,bagging,3,0.9629629629629629
132,30,bagging,3,0.9629629629629629
133,40,bagging,3,0.9629629629629629
134,50,bagging,3,0.9629629629629629
135,60,bagging,3,0.9629629629629629
136,70,bagging,3,0.9722222222222222
137,80,bagging,3,0.9629629629629629
138,90,bagging,3,0.9629629629629629
139,100,bagging,3,0.9629629629629629
140,10,adaboost,3,0.9814814814814815
141,20,adaboost,3,1.0
142,30,adaboost,3,1.0
143,40,adaboost,3,1.0
144,50,adaboost,3,1.0
145,60,adaboost,3,1.0
146,70,adaboost,3,1.0
147,80,adaboost,3,1.0
148,90,adaboost,3,1.0
149,100,adaboost,3,1.0
150,10,random_subspace,3,0.9351851851851852
151,20,random_subspace,3,0.9351851851851852
152,30,random_subspace,3,0.9166666666666666
153,40,random_subspace,3,0.9166666666666666
154,50,random_subspace,3,0.9351851851851852
155,60,random_subspace,3,0.9166666666666666
156,70,random_subspace,3,0.9166666666666666
157,80,random_subspace,3,0.9166666666666666
158,90,random_subspace,3,0.9166666666666666
159,100,random_subspace,3,0.9166666666666666
160,10,rlo,4,0.9259259259259259
161,20,rlo,4,0.9259259259259259
162,30,rlo,4,0.9166666666666666
163,40,rlo,4,0.8333333333333334
164,50,rlo,4,0.9444444444444444
165,60,rlo,4,0.9537037037037037
166,70,rlo,4,0.9166666666666666
167,80,rlo,4,0.8148148148148148
168,90,rlo,4,0.8981481481481481
169,100,rlo,4,0.9537037037037037
170,10,bagging,4,0.9907407407407407
171,20,bagging,4,1.0
172,30,bagging,4,1.0
173,40,bagging,4,1.0
174,50,bagging,4,1.0
175,60,bagging,4,1.0
176,70,bagging,4,1.0
177,80,bagging,4,1.0
178,90,bagging,4,1.0
179,100,bagging,4,1.0
180,10,adaboost,4,1.0
181,20,adaboost,4,1.0
182,30,adaboost,4,1.0
183,40,adaboost,4,1.0
184,50,adaboost,4,1.0
185,60,adaboost,4,1.0
186,70,adaboost,4,1.0
187,80,adaboost,4,1.0
188,90,adaboost,4,1.0
189,100,adaboost,4,1.0
190,10,random_subspace,4,0.9166666666666666
191,20,random_subspace,4,0.9166666666666666
192,30,random_subspace,4,0.9722222222222222
193,40,random_subspace,4,0.9814814814814815
194,50,random_subspace,4,0.9166666666666666
195,60,random_subspace,4,0.9166666666666666
196,70,random_subspace,4,0.9166666666666666
197,80,random_subspace,4,0.9166666666666666
198,90,random_subspace,4,0.9166666666666666
199,100,random_subspace,4,0.9166666666666666
