,L,modelo,fold,Acurácia
0,10,rlo,0,0.95
1,20,rlo,0,0.9
2,30,rlo,0,0.8
3,40,rlo,0,0.7
4,50,rlo,0,0.9
5,60,rlo,0,0.9
6,70,rlo,0,0.75
7,80,rlo,0,0.75
8,90,rlo,0,0.45
9,100,rlo,0,0.95
10,10,bagging,0,0.9
11,20,bagging,0,0.9
12,30,bagging,0,0.9
13,40,bagging,0,0.95
14,50,bagging,0,0.9
15,60,bagging,0,0.9
16,70,bagging,0,0.9
17,80,bagging,0,0.9
18,90,bagging,0,0.9
19,100,bagging,0,0.9
20,10,adaboost,0,1.0
21,20,adaboost,0,1.0
22,30,adaboost,0,1.0
23,40,adaboost,0,1.0
24,50,adaboost,0,1.0
25,60,adaboost,0,1.0
26,70,adaboost,0,1.0
27,80,adaboost,0,1.0
28,90,adaboost,0,1.0
29,100,adaboost,0,1.0
30,10,random_subspace,0,0.9
31,20,random_subspace,0,0.9
32,30,random_subspace,0,0.9
33,40,random_subspace,0,0.9
34,50,random_subspace,0,0.9
35,60,random_subspace,0,0.9
36,70,random_subspace,0,0.9
37,80,random_subspace,0,0.9
38,90,random_subspace,0,0.9
39,100,random_subspace,0,0.9
40,10,rlo,1,0.9
41,20,rlo,1,0.9
42,30,rlo,1,0.75
43,40,rlo,1,0.65
44,50,rlo,1,0.9
45,60,rlo,1,0.85
46,70,rlo,1,0.8
47,80,rlo,1,0.8
48,90,rlo,1,0.4
49,100,rlo,1,0.85
50,10,bagging,1,0.9
51,20,bagging,1,0.9
52,30,bagging,1,0.9
53,40,bagging,1,0.9
54,50,bagging,1,0.9
55,60,bagging,1,0.9
56,70,bagging,1,0.9
57,80,bagging,1,0.9
58,90,bagging,1,0.9
59,100,bagging,1,0.9
60,10,adaboost,1,1.0
61,20,adaboost,1,1.0
62,30,adaboost,1,1.0
63,40,adaboost,1,1.0
64,50,adaboost,1,1.0
65,60,adaboost,1,1.0
66,70,adaboost,1,1.0
67,80,adaboost,1,1.0
68,90,adaboost,1,1.0
69,100,adaboost,1,1.0
70,10,random_subspace,1,0.9
71,20,random_subspace,1,0.9
72,30,random_subspace,1,0.9
73,40,random_subspace,1,0.9
74,50,random_subspace,1,0.9
75,60,random_subspace,1,0.9
76,70,random_subspace,1,0.9
77,80,random_subspace,1,0.9
78,90,random_subspace,1,0.9
79,100,random_subspace,1,0.9
80,10,rlo,2,0.7
81,20,rlo,2,0.9
82,30,rlo,2,0.85
83,40,rlo,2,0.85
84,50,rlo,2,0.75
85,60,rlo,2,0.9
86,70,rlo,2,0.95
87,80,rlo,2,0.85
88,90,rlo,2,0.75
89,100,rlo,2,0.85
90,10,bagging,2,0.9
91,20,bagging,2,0.9
92,30,bagging,2,0.9
93,40,bagging,2,0.9
94,50,bagging,2,0.9
95,60,bagging,2,0.9
96,70,bagging,2,0.9
97,80,bagging,2,0.9
98,90,bagging,2,0.9
99,100,bagging,2,0.9
100,10,adaboost,2,1.0
101,20,adaboost,2,1.0
102,30,adaboost,2,1.0
103,40,adaboost,2,1.0
104,50,adaboost,2,1.0
105,60,adaboost,2,1.0
106,70,adaboost,2,1.0
107,80,adaboost,2,1.0
108,90,adaboost,2,1.0
109,100,adaboost,2,1.0
110,10,random_subspace,2,0.9
111,20,random_subspace,2,0.9
112,30,random_subspace,2,0.9
113,40,random_subspace,2,0.9
114,50,random_subspace,2,0.9
115,60,random_subspace,2,0.9
116,70,random_subspace,2,0.9
117,80,random_subspace,2,0.9
118,90,random_subspace,2,0.9
119,100,random_subspace,2,0.9
120,10,rlo,3,0.65
121,20,rlo,3,0.75
122,30,rlo,3,0.75
123,40,rlo,3,0.55
124,50,rlo,3,0.8
125,60,rlo,3,0.85
126,70,rlo,3,0.85
127,80,rlo,3,0.9
128,90,rlo,3,0.35
129,100,rlo,3,0.95
130,10,bagging,3,0.85
131,20,bagging,3,0.85
132,30,bagging,3,0.85
133,40,bagging,3,0.85
134,50,bagging,3,0.85
135,60,bagging,3,0.85
136,70,bagging,3,0.85
137,80,bagging,3,0.85
138,90,bagging,3,0.85
139,100,bagging,3,0.85
140,10,adaboost,3,1.0
141,20,adaboost,3,1.0
142,30,adaboost,3,1.0
143,40,adaboost,3,1.0
