,L,modelo,fold,Acurácia
0,10,rlo,0,0.9154929577464789
1,20,rlo,0,0.8873239436619719
2,30,rlo,0,0.8450704225352113
3,40,rlo,0,0.5070422535211268
4,50,rlo,0,0.5352112676056338
5,60,rlo,0,0.8028169014084507
6,70,rlo,0,0.8450704225352113
7,80,rlo,0,0.8450704225352113
8,90,rlo,0,0.7605633802816901
9,100,rlo,0,0.8591549295774648
10,10,bagging,0,0.9436619718309859
11,20,bagging,0,0.9154929577464789
12,30,bagging,0,0.9577464788732394
13,40,bagging,0,0.9295774647887324
14,50,bagging,0,0.9577464788732394
15,60,bagging,0,0.971830985915493
16,70,bagging,0,0.971830985915493
17,80,bagging,0,0.9577464788732394
18,90,bagging,0,0.971830985915493
19,100,bagging,0,0.971830985915493
20,10,adaboost,0,0.9859154929577465
21,20,adaboost,0,1.0
22,30,adaboost,0,1.0
23,40,adaboost,0,1.0
24,50,adaboost,0,1.0
25,60,adaboost,0,1.0
26,70,adaboost,0,1.0
27,80,adaboost,0,1.0
28,90,adaboost,0,1.0
29,100,adaboost,0,1.0
30,10,random_subspace,0,0.7605633802816901
31,20,random_subspace,0,0.7746478873239436
32,30,random_subspace,0,0.8169014084507042
33,40,random_subspace,0,0.8169014084507042
34,50,random_subspace,0,0.7323943661971831
35,60,random_subspace,0,0.7887323943661971
36,70,random_subspace,0,0.7464788732394366
37,80,random_subspace,0,0.8169014084507042
38,90,random_subspace,0,0.7887323943661971
39,100,random_subspace,0,0.8450704225352113
40,10,rlo,1,0.8142857142857143
41,20,rlo,1,0.7714285714285715
42,30,rlo,1,0.7142857142857143
43,40,rlo,1,0.4857142857142857
44,50,rlo,1,0.37142857142857144
45,60,rlo,1,0.7142857142857143
46,70,rlo,1,0.7428571428571429
47,80,rlo,1,0.8142857142857143
48,90,rlo,1,0.7714285714285715
49,100,rlo,1,0.7857142857142857
50,10,bagging,1,0.9142857142857143
51,20,bagging,1,0.9142857142857143
52,30,bagging,1,0.9285714285714286
53,40,bagging,1,0.9285714285714286
54,50,bagging,1,0.9714285714285714
55,60,bagging,1,0.9428571428571428
56,70,bagging,1,0.9428571428571428
57,80,bagging,1,0.9428571428571428
58,90,bagging,1,0.9571428571428572
59,100,bagging,1,0.9857142857142858
60,10,adaboost,1,0.9857142857142858
61,20,adaboost,1,1.0
62,30,adaboost,1,1.0
63,40,adaboost,1,1.0
64,50,adaboost,1,1.0
65,60,adaboost,1,1.0
66,70,adaboost,1,1.0
67,80,adaboost,1,1.0
68,90,adaboost,1,1.0
69,100,adaboost,1,1.0
70,10,random_subspace,1,0.7428571428571429
71,20,random_subspace,1,0.7285714285714285
72,30,random_subspace,1,0.7
73,40,random_subspace,1,0.7857142857142857
74,50,random_subspace,1,0.7428571428571429
75,60,random_subspace,1,0.7142857142857143
76,70,random_subspace,1,0.7285714285714285
77,80,random_subspace,1,0.7142857142857143
78,90,random_subspace,1,0.7285714285714285
79,100,random_subspace,1,0.7428571428571429
80,10,rlo,2,0.8857142857142857
81,20,rlo,2,0.8
82,30,rlo,2,0.7428571428571429
83,40,rlo,2,0.5428571428571428
84,50,rlo,2,0.5428571428571428
85,60,rlo,2,0.7714285714285715
86,70,rlo,2,0.8428571428571429
87,80,rlo,2,0.8428571428571429
88,90,rlo,2,0.7
89,100,rlo,2,0.8571428571428571
90,10,bagging,2,0.9
91,20,bagging,2,0.9142857142857143
92,30,bagging,2,0.9428571428571428
93,40,bagging,2,0.9285714285714286
94,50,bagging,2,0.9428571428571428
95,60,bagging,2,0.9714285714285714
96,70,bagging,2,0.9428571428571428
97,80,bagging,2,0.9571428571428572
98,90,bagging,2,0.9571428571428572
99,100,bagging,2,0.9428571428571428
100,10,adaboost,2,1.0
101,20,adaboost,2,1.0
102,30,adaboost,2,1.0
103,40,adaboost,2,1.0
104,50,adaboost,2,1.0
105,60,adaboost,2,1.0
106,70,adaboost,2,1.0
107,80,adaboost,2,1.0
108,90,adaboost,2,1.0
109,100,adaboost,2,1.0
110,10,random_subspace,2,0.8142857142857143
111,20,random_subspace,2,0.8142857142857143
112,30,random_subspace,2,0.7285714285714285
113,40,random_subspace,2,0.8714285714285714
114,50,random_subspace,2,0.8285714285714286
115,60,random_subspace,2,0.8428571428571429
116,70,random_subspace,2,0.8285714285714286
117,80,random_subspace,2,0.8857142857142857
118,90,random_subspace,2,0.7857142857142857
119,100,random_subspace,2,0.7428571428571429
120,10,rlo,3,0.9142857142857143
121,20,rlo,3,0.9571428571428572
122,30,rlo,3,0.8142857142857143
123,40,rlo,3,0.6285714285714286
124,50,rlo,3,0.5714285714285714
125,60,rlo,3,0.8428571428571429
126,70,rlo,3,0.8
127,80,rlo,3,0.9857142857142858
128,90,rlo,3,0.7571428571428571
129,100,rlo,3,0.8
130,10,bagging,3,0.9571428571428572
131,20,bagging,3,0.9857142857142858
132,30,bagging,3,0.9857142857142858
