,L,modelo,fold,Acurácia
0,10,rlo,0,0.9649122807017544
1,20,rlo,0,0.9473684210526315
2,30,rlo,0,0.9035087719298246
3,40,rlo,0,0.9824561403508771
4,50,rlo,0,0.9736842105263158
5,60,rlo,0,0.8947368421052632
6,70,rlo,0,0.9824561403508771
7,80,rlo,0,0.9736842105263158
8,90,rlo,0,0.9736842105263158
9,100,rlo,0,0.956140350877193
10,10,bagging,0,0.9912280701754386
11,20,bagging,0,0.9912280701754386
12,30,bagging,0,0.9912280701754386
13,40,bagging,0,0.9912280701754386
14,50,bagging,0,0.9912280701754386
15,60,bagging,0,0.9912280701754386
16,70,bagging,0,0.9912280701754386
17,80,bagging,0,0.9912280701754386
18,90,bagging,0,0.9912280701754386
19,100,bagging,0,0.9912280701754386
20,10,adaboost,0,0.9912280701754386
21,20,adaboost,0,1.0
22,30,adaboost,0,1.0
23,40,adaboost,0,1.0
24,50,adaboost,0,1.0
25,60,adaboost,0,1.0
26,70,adaboost,0,1.0
27,80,adaboost,0,1.0
28,90,adaboost,0,1.0
29,100,adaboost,0,1.0
30,10,random_subspace,0,0.956140350877193
31,20,random_subspace,0,0.9736842105263158
32,30,random_subspace,0,0.956140350877193
33,40,random_subspace,0,0.9649122807017544
34,50,random_subspace,0,0.9298245614035088
35,60,random_subspace,0,0.9473684210526315
36,70,random_subspace,0,0.9649122807017544
37,80,random_subspace,0,0.9473684210526315
38,90,random_subspace,0,0.9649122807017544
39,100,random_subspace,0,0.9824561403508771
40,10,rlo,1,0.9649122807017544
41,20,rlo,1,0.9122807017543859
42,30,rlo,1,0.9385964912280702
43,40,rlo,1,0.9473684210526315
44,50,rlo,1,0.9736842105263158
45,60,rlo,1,0.9035087719298246
46,70,rlo,1,0.956140350877193
47,80,rlo,1,0.9824561403508771
48,90,rlo,1,0.9649122807017544
49,100,rlo,1,0.9824561403508771
50,10,bagging,1,0.9824561403508771
51,20,bagging,1,0.9824561403508771
52,30,bagging,1,0.9824561403508771
53,40,bagging,1,0.9824561403508771
54,50,bagging,1,0.9824561403508771
55,60,bagging,1,0.9824561403508771
56,70,bagging,1,0.9824561403508771
57,80,bagging,1,0.9824561403508771
58,90,bagging,1,0.9824561403508771
59,100,bagging,1,0.9824561403508771
60,10,adaboost,1,0.9912280701754386
61,20,adaboost,1,0.9912280701754386
62,30,adaboost,1,1.0
63,40,adaboost,1,1.0
64,50,adaboost,1,1.0
65,60,adaboost,1,1.0
66,70,adaboost,1,1.0
67,80,adaboost,1,1.0
68,90,adaboost,1,1.0
69,100,adaboost,1,1.0
70,10,random_subspace,1,0.9473684210526315
71,20,random_subspace,1,0.9736842105263158
72,30,random_subspace,1,0.9385964912280702
73,40,random_subspace,1,0.9210526315789473
74,50,random_subspace,1,0.9649122807017544
75,60,random_subspace,1,0.9473684210526315
76,70,random_subspace,1,0.9473684210526315
77,80,random_subspace,1,0.9473684210526315
78,90,random_subspace,1,0.956140350877193
79,100,random_subspace,1,0.9473684210526315
80,10,rlo,2,0.9736842105263158
81,20,rlo,2,0.956140350877193
82,30,rlo,2,0.9385964912280702
83,40,rlo,2,0.9736842105263158
84,50,rlo,2,0.9736842105263158
85,60,rlo,2,0.9035087719298246
86,70,rlo,2,0.9736842105263158
87,80,rlo,2,0.9824561403508771
88,90,rlo,2,0.9824561403508771
89,100,rlo,2,0.9736842105263158
90,10,bagging,2,0.9912280701754386
91,20,bagging,2,0.9912280701754386
92,30,bagging,2,0.9912280701754386
93,40,bagging,2,0.9912280701754386
94,50,bagging,2,0.9912280701754386
95,60,bagging,2,0.9912280701754386
96,70,bagging,2,1.0
97,80,bagging,2,1.0
98,90,bagging,2,1.0
99,100,bagging,2,0.9912280701754386
100,10,adaboost,2,1.0
101,20,adaboost,2,1.0
102,30,adaboost,2,1.0
103,40,adaboost,2,1.0
104,50,adaboost,2,1.0
105,60,adaboost,2,1.0
106,70,adaboost,2,1.0
107,80,adaboost,2,1.0
108,90,adaboost,2,1.0
109,100,adaboost,2,1.0
110,10,random_subspace,2,0.956140350877193
111,20,random_subspace,2,0.9649122807017544
112,30,random_subspace,2,0.9385964912280702
113,40,random_subspace,2,0.956140350877193
114,50,random_subspace,2,0.9736842105263158
115,60,random_subspace,2,0.9473684210526315
116,70,random_subspace,2,0.9649122807017544
117,80,random_subspace,2,0.956140350877193
118,90,random_subspace,2,0.9736842105263158
119,100,random_subspace,2,0.9649122807017544
120,10,rlo,3,0.9736842105263158
121,20,rlo,3,0.8596491228070176
122,30,rlo,3,0.9649122807017544
123,40,rlo,3,0.9736842105263158
124,50,rlo,3,0.9736842105263158
125,60,rlo,3,0.9473684210526315
126,70,rlo,3,0.956140350877193
127,80,rlo,3,0.9736842105263158
128,90,rlo,3,0.9824561403508771
129,100,rlo,3,0.9736842105263158
130,10,bagging,3,0.9824561403508771
